quarter,month,scripts,reversals,net_revenue,net_cogs,transaction_costs,net_margin,margin_minus_fees,dr_first_pct_margin,dr_first_fill_min_margin,dr_first_fill_margin,dr_first_reversal_margin,dr_first_margin
Q418,12/1/2018,1386,15,45904.95,46242.83,1240.0225,-337.88,-1677.3,-671.826,1663.2,1663.2,18,1645.2
Q119,1/1/2019,2554,86,89910.53,89530.4,2517.785,380.13,-2272.5125,-943.321,3066,3066,103.2,2962.8
Q119,2/1/2019,3671,109,189252.68,211165.01,-1519.0675,-21912.33,-20155.935,-8021.623,4405.2,4405.2,130.8,4274.4
Q119,3/1/2019,5887,141,203344.39,205580.02,6035.35,-2235.63,-8616.0625,-3423.419,7064.4,7064.4,169.2,6895.2
Q219,4/1/2019,9274,179,291404.76,274259.24,13104.575,17145.52,3471.24,1392.85,11128.8,11128.8,214.8,10914
Q219,5/1/2019,11023,252,339930.57,304069.77,18906.105,35860.8,15932.7725,6732.182,13227.6,13227.6,302.4,12925.2
Q219,6/1/2019,12771,349,399633.69,362118.17,21210.4325,37515.52,15333.575,7010.044,15325.2,15325.2,418.8,14906.4
Q319,7/1/2019,17580,444,566063.98,499588.88,32963.8175,66475.1,32290.29,13178.632,21096,21096,532.8,20563.2
Q319,8/1/2019,20512,632,668483.66,583513.3,39838.985,84970.36,43437.8425,18378.015,24614.4,24614.4,758.4,23856
Q319,9/1/2019,19913,813,587798.91,508677.55,37691.88,79121.36,39940.4475,17168.726,23895.6,23895.6,975.6,22920
Q419,10/1/2019,24241,853,740016.81,644591.04,45456.225,95425.77,47713.015,20549.887,29089.2,29089.2,1023.6,28065.6
Q419,11/1/2019,24552,981,713045.93,612060.57,47501.845,100985.36,51688.88,22079.983,29462.4,29462.4,1177.2,28285.2
Q419,12/1/2019,27729,988,842237.28,719925.12,55473.5375,122312.16,64490.5675,27051.5,33274.8,33274.8,1185.6,32089.2
Q120,1/1/2020,31438,1096,1042811.13,894898.4,65173.6575,147912.73,78723.9625,33102.433,37725.6,37725.6,1315.2,36410.4
Q120,2/1/2020,30175,1487,941894.89,790268.67,64485.415,151626.22,83316.385,35547.168,36210,36210,1784.4,34425.6
Q120,3/1/2020,34705,1370,1096855.86,926613.34,40671.8265,170242.52,127958.2265,53643.3736,41646,53643.3736,1644,51999.3736
Q220,4/1/2020,32535,1305,1051569.22,882515.69,36977.526,169053.53,130558.388,54721.092,39045.6,54721.092,2485.9328,52235.1592
Q220,5/1/2020,30669,1017,1023610.91,875974.39,20908.152,147636.52,110250.451,45706.7056,36811.2,45706.7056,1603.7192,44102.9864
Q220,6/1/2020,32543,1164,1126119.91,968701.47,22311.981,157422.4,118471.833,49406.3182,39051.6,49406.3182,2013.492,47392.8262
Q320,7/1/2020,33277,1267,1147684.74,974299.33,24887.523,173385.41,131756.106,55063.136,39932.4,55063.136,2361.1956,52701.9404
Q320,8/1/2020,30491,1401,1076163.3,905246.44,22311.5255,170916.86,132185.3475,56318.288,36589.2,56318.288,3444.543,52873.745
Q320,9/1/2020,30167,1438,1073039,904099.43,21830.4785,168945.07,130751.8205,55639.9784,36200.4,55639.9784,3334.4452,52305.5332
Q420,10/1/2020,31395,1514,1136606.86,959289.61,24543.979,177317.25,136320.654,58318.524,37674,58318.524,3790.2624,54528.2616
Q420,11/1/2020,29129,1388,1119412.51,949271.62,24007.27,170140.89,129792.716,55535.541,34954.8,55535.541,3620.0606,51915.4804
Q420,12/1/2020,33790,1431,1363039.4,1168796.85,28131.9225,194242.55,149686.1625,64677.149,40548,64677.149,4802.684,59874.465
Q121,1/1/2021,31928,1331,1408996.36,1226539.85,30354.54,182456.51,152101.97,64574.209,38313.6,64574.209,3733.815,60840.394
Q121,2/1/2021,30820,1396,1322898.88,1145833.44,30181.6075,177065.44,146883.8325,62032.987,36984,62032.987,3280.353,58752.634
Q121,3/1/2021,38945,1414,1627837.43,1408276.24,37658.8675,219561.19,181902.3225,75841.009,46734,75841.009,3075.728,72765.281
Q221,4/1/2021,37963,1717,1508823.61,1285878.41,25957.647,222945.2,196987.553,82394.0992,45555.6,82394.0992,3599.078,78795.0212
Q221,5/1/2021,38148,1778,1441120.98,1211348.92,13528.498,229772.06,216243.562,90652.0104,45777.6,90652.0104,4154.5856,86497.4248
Q221,6/1/2021,39852,1727,1555884.15,1317429.05,14382.512,238455.1,224072.588,93893.4448,47822.4,93893.4448,4264.4096,89629.0352
Q321,7/1/2021,43596,1875,1672814.56,1421156.22,11918.902,251658.34,239739.438,100331.6136,52315.2,100331.6136,4435.8384,95895.7752
Q321,8/1/2021,49696,1854,1969575.72,1673521.24,13829.807,296054.48,282224.673,117419.8028,59635.2,117419.8028,4529.9336,112889.8692
Q321,9/1/2021,50496,2351,1971224.79,1678825,14073.854,292399.79,278325.936,117134.24,60595.2,117134.24,5803.8656,111330.3744
Q421,10/1/2021,52122,2529,1938752.18,1638712.96,13253.79,300015.50,286761.71,121009.93,62546.40,121009.93,6305.25,114704.68
Q421,11/1/2021,52822,2429,1998211.42,1693594.28,13559.43,304605.26,291045.83,122410.34,63386.40,122410.34,5992.01,116418.33
Q421,12/1/2021,55456,2628,2088592.05,1768642.33,14097.74,319889.92,305792.18,128763.64,66547.20,128763.64,6446.77,122316.87
Q122,1/1/2022,58301,2656,2325581.64,1977269.37,14954.65,348294.31,333339.66,139958.41,69961.20,139958.41,6622.55,133335.87
Q122,2/1/2022,53317,2821,2103018.01,1796362.09,14549.29,306604.97,292055.68,123723.71,63980.40,123723.71,6901.44,116822.27
Q122,3/1/2022,62803,2829,2462636.61,2105767.10,17463.71,356866.51,339402.80,142271.76,75363.60,142271.76,6510.65,135761.12
Q222,4/1/2022,60614,3052,2379703.28,2039842.10,15956.22,339856.93,323900.71,136473.90,72736.80,136473.90,6913.62,129560.28
Q222,5/1/2022,62267,2974,2506932.14,2161929.01,14869.33,344989.89,330120.56,138741.50,74720.40,138741.50,6693.28,132048.22
Q222,6/1/2022,65403,3228,2403018.53,2042258.21,15070.02,360721.54,345651.52,145505.88,78483.60,145505.88,7245.27,138260.61
Q322,7/1/2022,64153,3298,2452311.93,2102696.13,14531.29,349607.81,335076.52,141303.06,76983.60,141303.06,7272.45,134030.61
Q322,8/1/2022,91455,3090,3647319.14,3139014.75,20070.04,508280.84,488210.80,202170.82,109747.20,202170.82,6886.50,195284.32
Q322,9/1/2022,86126,4096,3340297.22,2855004.21,18601.94,485286.00,466684.06,195763.80,103395.60,195763.80,9090.17,186673.62
Q422,10/1/2022,71844,4697,2679640.17,2285108.65,15679.52,394820.83,379141.31,162349.99,86242.80,162349.99,10693.47,151656.52
Q422,11/1/2022,69447,4388,2588006.99,2207641.82,14708.56,380365.17,365656.61,156169.43,83348.40,156169.43,9906.78,146262.64
Q422,12/1/2022,69548,4732,2498032.18,2118673.03,14302.58,379259.01,364956.43,156608.97,83476.80,156608.97,10626.40,145982.57
Q123,1/1/2023,68016,4030,2732175.60,2357145.23,14088.12,375032.28,360944.16,153656.39,81638.40,153656.39,9278.73,144377.66
Q123,2/1/2023,61676,4487,2396852.15,2042486.36,12687.14,354365.79,341678.65,146689.93,74020.80,146689.93,10018.47,136671.46
Q123,3/1/2023,65989,4269,2620015.87,2253390.26,14290.70,366624.87,352334.17,151118.55,79190.40,151118.55,10184.88,140933.67
Q223,4/1/2023,60081,4020,2452844.20,2111041.15,15677.69,341803.05,326125.36,139668.92,72104.40,139668.92,9218.78,130450.14
Q223,5/1/2023,67010,3648,2790672.38,2402745.84,16488.73,387926.54,371437.81,157202.31,80416.80,157202.31,8627.18,148575.12
Q223,6/1/2023,66837,3849,2885217.09,2457946.58,17152.14,427270.51,410118.37,173718.77,80204.40,173718.77,9671.42,164047.35
Q323,7/1/2023,72659,4040,3037445.47,2579033.44,14973.12,458412.03,443438.91,188194.10,87194.40,188194.10,10818.53,177375.56
Q323,8/1/2023,86452,4172,3696439.52,3186528.87,18279.83,509909.39,491629.56,207405.96,103743.60,207405.96,10754.14,196651.82
Q323,9/1/2023,82559,5131,3254175.48,2815928.54,16472.00,438246.17,421774.17,180369.82,99078.00,180369.82,11660.15,168709.67
Q423,10/1/2023,84441,5157,3430439.32,2941184.06,29901.84,488998.34,459096.50,195730.41,101331.60,195730.41,12091.81,183638.60
Q423,11/1/2023,79194,5331,3520684.26,3040145.53,27727.05,480433.56,452706.51,194411.30,95036.40,194411.30,13328.70,181082.60
Q423,12/1/2023,75257,5491,3149028.68,2697001.77,11920.88,452026.91,440106.03,189392.53,90308.40,189392.53,13350.12,176042.41
