quarter,month,scripts,reversals,net_revenue,net_cogs,transaction_costs,net_margin,margin_minus_fees,dr_first_pct_margin,dr_first_fill_min_margin,dr_first_fill_margin,dr_first_reversal_margin,dr_first_margin
Q320,7/1/2020,393,0,23283.23,20772.01,364.014,2511.22,2122.876,1061.438,393,1061.438,0,1061.438
Q320,8/1/2020,760,113,39255.14,33665.16,614.426,5589.98,4924.304,2866.142,505.75,2866.142,403.99,2462.152
Q320,9/1/2020,1056,102,40376.01,34965.05,863.952,5410.96,4470.508,2945.584,826.5,2945.584,710.33,2235.254
Q420,10/1/2020,1649,119,81320.65,71004.73,1534.1875,10315.92,8663.225,4777.1025,1381.25,4777.1025,445.49,4331.6125
Q420,11/1/2020,1765,206,87545.83,77006.74,1496.11,10539.09,8919.6,5336.78,1301.5,5336.78,876.98,4459.8
Q420,12/1/2020,2244,223,93466.73,81266.95,2026.3225,12199.78,10060.9175,6198.47375,1742.25,6198.47375,1168.015,5030.45875
Q121,1/1/2021,2580,241,127970.15,113522.32,2602.1625,14447.83,11845.6675,6830.435,2037.75,6830.435,907.60125,5922.83375
Q121,2/1/2021,3815,272,170044.21,146923.78,4049.2825,23120.43,19071.1475,10380.6125,3203,10380.6125,845.03875,9535.57375
Q121,3/1/2021,5063,489,199641.32,172286.99,5218.11,27354.33,22136.22,12716.67375,3962.75,12716.67375,1648.56375,11068.11
Q221,4/1/2021,5729,520,239904.07,205949.25,3661.747,33954.82,30293.073,16570.139,4559,16570.139,1423.6025,15146.5365
Q221,5/1/2021,6803,741,263794.05,223604.63,2812.506,40189.42,37376.914,21061.736,5135.75,21061.736,2373.279,18688.457
Q221,6/1/2021,8200,814,299686.84,250279.15,3713.112,49407.69,45694.578,25524.293,6368.5,25524.293,2677.004,22847.289
Q321,7/1/2021,8786,1039,328840.25,278428.59,2943.708,50411.66,47467.952,27112.428,6448.25,27112.428,3378.452,23733.976
